"palabra","positivo","negativo","sentimiento"
"¡ ¡ buen producto gasta mínimo electricidad hornea maravilla",4,0,1
"¡ encanto pan queda rico extremadamente facil usar puede programar pan listo hora quiera maravilloso receta trae maquina recomiendo pan queda malo muchas internet funcionan maravilla",6,2,1
"¡ excelente colchón exactamente igual descripción firme bastante alto tela filamentos cobre suave tacto recomiendo absolutamente",5,1,1
"abre fácil buen cajón pueden guarda sábanas plumones colchón cómodo perfe cto tamaño u recomiendo producto",0,0,0
"absolutamente perfecta facil usar pan queda exquisito cero esfuerzo",2,1,1
"absolutamente recomendable calidad colchones excelente",2,0,1
"absolutamente u recomiendo producto publicada originalmente sodimaccl",0,0,0
"acaba llegar comodo pedi talla quedo perfecto modelo recto u recomiendo producto",2,0,1
"acaba llegar probé pequeño talla pantalón calce ma ajustado ir tienda cambiarlos si piensan encargar cuenta",1,0,1
"acaban llegar compre talla quedan perfectos comodos bellos si tan mom jeans u recomiendo producto",0,0,0
"acabaron dolor espalda u recomiendo producto",0,14,0
"acabo comprae impresora llegue probarla altiro conecta bien unico gran problema carril hojas toma ayudar laimpresora tomar ma hojas hace toma ma ende suede imprimir tendre cambiarla",1,2,0
"acabo comprar lápiz maconline gracias avisar bueno si llega puedan avisar saber si seguro problema gracias u recomiendo producto",6,1,1
"acabo comprarla espero arrepentirme si falabella paso cobrar despacho bien cuarentena pasan final producto sale descuento restante cobran igual despacho salió casi cama imagino caras espero bueno producto",8,0,1
"acceder canales registrarse formandote gran enredo dias prueba comienzo cobros canales puedes comprar arrendar encuentro precios alto van obtener lado canales representan pais origen ej claro video sistema busquedas peliculas deficiente",0,2,0
"accesorios permite muchas funciones tiempo uso accesorio picador batidora echaron perder engranajes pars acoplan motor cada accesorio rompieron además potencia baja",3,4,0
"acolchada espalda calza perfectamente incluso almohada recomiendo aquellos últimamente cuarentena sentido incomodez espalda ortopedica firme centrada u recomiendo producto",8,0,1
"acomoda bien espacios pequeños fácil usar buena calidad u recomiendo producto",0,0,0
"acomodan bien cuerpo tela agradable recomiendo comprar talla menos estiran bastante súper skinny u recomiendo producto",5,0,1
"acorde producto precio calidad mismas tallas ocupa u recomiendo producto",1,0,1
"acostumbro comprar talla pantalones marca sybilla calce juvenil grandes común pedir talla menos acostumbrada quedaron gigantes",0,2,0
"actualicen descripciones aquí die sensor huella dactilar touch id completamente falso perteneciente siguiente generación dispositivo respecto demás decir venderlo precio tan elevado inaceptable parte compañía distribuidor haganse ver",2,6,0
"adapta bien cuerpo comprar talla usa normalmente u recomiendo producto",0,0,0
"adapta bien cuerpo pedí color celeste queda genial talla quedó bien bajita si quiera hacerle basta u recomiendo producto",2,0,1
"adapta perfecto cuerpo hermoso u recomiendo producto",1,0,1
"adaptan perfectamente cuerpo cómodos u recomiendo producto",0,0,0
"adecua bien cuerpo precioso u recomiendo producto",2,0,1
"adecuado producto relación precio u recomiendo producto",2,0,1
"adecuó bien necesitades tamaño sirvio bastante horneado sale excelente u recomiendo producto",4,0,1
"además ser computador liviano funcional necesidades prende apaga rápido incluyo aplicaciones fácil transportar batería baste buen funcionamiento u recomiendo producto",0,0,0
"adidas siempre calza bienen producto llevo años usando marca siempre queda bien u recomiendo producto publicada originalmente adidascom",0,0,0
